FIRE_NAME,FIRE_YEAR,DISCOVERY_DATE,DISCOVERY_TIME,CONT_DATE,CONT_TIME,FIRE_SIZE,LATITUDE,LONGITUDE
FISH,2005,2453586.5,1050,2453586.5,1150,0.1,34.15944444,-117.92
DAFFODIL,2005,2453521.5,1300,2453521.5,1515,0.1,40.96694444,-123.6444444
GASQUET DUMP,2005,2453522.5,2110,2453523.5,1200,0.25,41.84777778,-123.9569444
LOVE,2005,2453483.5,930,2453483.5,1016,0.1,33.26611111,-116.7786111
TRANSIENT,2005,2453592.5,1118,2453592.5,1215,0.1,34.23555556,-117.6555556
EAST,2005,2453589.5,1221,2453589.5,1235,0.1,34.22972222,-117.7727778
LAUREL,2005,2453589.5,1532,2453589.5,2030,3,34.16555556,-117.9047222
LA JOLLA,2005,2453599.5,1227,2453599.5,1246,2,33.28138889,-116.8502778
NATE,2005,2453623.5,2100,2453623.5,2115,1,33.33277778,-116.9663889
NORTH,2005,2453593.5,1709,2453593.5,1800,0.1,34.24861111,-117.8636111
I-80,2005,2453626.5,10,2453626.5,200,0.1,39.45055556,-120.0075
BURRO,2005,2453594.5,1425,2453594.5,1540,2,34.24805556,-117.8408333
GATE,2005,2453610.5,1208,2453610.5,1235,0.1,34.16777778,-117.7686111
BICHOTA,2005,2453609.5,1308,2453609.5,2100,5,34.26638889,-117.8358333
CHIHUAHUA,2005,2453623.5,1350,2453623.5,1430,0.1,33.37055556,-116.7497222
RINCON,2005,2453618.5,1254,2453618.5,2355,20,34.21972222,-117.8691667
168,2005,2453547.5,1730,2453547.5,2030,0.3,37.06944444,-119.3494444
GLASS,2005,2453615.5,1452,2453618.5,1430,20,37.75138889,-119.0166667
LOG,2005,2453567.5,1050,2453567.5,1141,0.1,37.68472222,-118.5844444
RANGE,2005,2453602.5,1841,2453602.5,2113,1,34.50611111,-119.7505556
LOCKWOOD,2005,2453606.5,1018,2453606.5,1100,0.1,34.74583333,-119.0622222
BROWN'S,2005,2453531.5,1156,2453531.5,1230,0.1,40.41388889,-123.5172222
OAK BOTTOM,2005,2453544.5,200,2453544.5,700,0.1,41.37666667,-123.4483333
MRYTLE,2005,2453555.5,1006,2453555.5,1015,0.1,41.80416667,-124.0586111
PATRICKS,2005,2453555.5,1518,2453555.5,1522,0.1,41.88277778,-123.8483333
RUTH,2005,2453562.5,1120,2453562.5,1135,0.1,40.26944444,-123.32
AMERICAN,2005,2453559.5,1059,2453559.5,2130,0.1,39.61861111,-121.0338889
DEVILS,2005,2453624.5,1506,2453624.5,1800,0.1,39.69444444,-121.0613889
KYBURZ,2005,2453579.5,1515,2453579.5,1530,0.1,39.59194444,-120.925
MORRIS,2005,2453581.5,1336,2453581.5,1900,0.2,39.64972222,-120.9047222
HILL,2005,2453582.5,1100,2453582.5,1152,0.1,39.41861111,-120.0827778
JACK,2005,2453582.5,1312,2453582.5,1430,0.25,39.31638889,-120.2258333
CAMINO#1,2005,2453587.5,1215,2453587.5,1225,0.1,39.74055556,-120.4497222
CAMINO#2,2005,2453590.5,815,2453590.5,825,0.1,39.73333333,-120.4336111
RAMP,2005,2453591.5,1330,2453591.5,1430,0.25,39.40805556,-120.1116667
LUSK,2005,2453591.5,1345,2453591.5,1350,0.1,39.62694444,-120.5688889
TRUMBULL,2005,2453645.5,1000,2453645.5,1500,0.25,38.0625,-119.2408333
SAWMILL,2005,2453592.5,1651,2453592.5,2012,0.3,39.43777778,-120.5938889
BASSETTS FIRE,2005,2453595.5,1513,2453595.5,1712,0.1,39.61972222,-120.5861111
ONION,2005,2453596.5,1400,2453596.5,1452,0.1,39.26388889,-120.6436111
MILL FIRE,2005,2453596.5,1535,2453596.5,1900,0.1,39.45555556,-120.0475
POLE,2005,2453598.5,1100,2453598.5,1300,0.1,39.23305556,-120.2497222
GROUNDHOG,2005,2453599.5,1012,2453599.5,1345,0.1,39.51277778,-120.2047222
TREASURE,2005,2453599.5,1105,2453599.5,1621,0.1,39.53305556,-120.3527778
MAGONIGAL,2005,2453600.5,1730,2453600.5,2200,0.1,39.35388889,-120.4713889
SPRUCE,2005,2453640.5,1700,2453640.5,2330,0.25,39.57638889,-122.9336111
POTATO,2005,2453624.5,1816,2453625.5,1500,0.25,40.18,-121.5375
CHERRY,2005,2453640.5,903,2453640.5,1500,0.25,39.60833333,-122.9583333
PASTURE,2005,2453640.5,1116,2453640.5,1630,0.1,39.66388889,-123.0402778
HORSE,2005,2453640.5,950,2453640.5,1537,0.1,39.66527778,-123.0402778
SUGAR,2005,2453550.5,1300,2453550.5,1500,0.1,38.53833333,-120.25
BEAR,2005,2453592.5,1800,2453592.5,2100,0.1,38.53472222,-120.2013889
UPPER,2005,2453598.5,1630,2453600.5,1800,0.25,38.55805556,-120.2527778
CLOVER,2005,2453599.5,1020,2453606.5,1600,3.5,38.41694444,-119.9116667
COLE,2005,2453608.5,1500,2453608.5,1600,0.1,38.53666667,-120.1880556
DONEY,2005,2453478.5,2205,2453478.5,2220,0.1,40.885,-122.3836111
CAT,2005,2453610.5,1300,2453610.5,1325,0.1,38.58527778,-120.2969444
MAIDEN,2005,2453640.5,800,2453640.5,1700,0.1,38.635,-120.1816667
PINE,2005,2453487.5,1930,2453488.5,1500,0.1,40.40222222,-123.2333333
ROOKIE,2005,2453542.5,1005,2453542.5,1007,0.1,33.46861111,-116.9330556
LEXINGTON,2005,2453625.5,1330,2453625.5,1630,0.1,39.67388889,-121.0097222
WARD,2005,2453598.5,1100,2453599.5,1230,0.1,39.13305556,-120.2497222
WILLOW,2005,2453598.5,1100,2453599.5,1400,0.1,39.12,-120.2702778
INDEPENDENCE,2005,2453603.5,950,2453603.5,1021,0.1,39.33,-120.0897222
VOLCANO FIRE,2005,2453604.5,1600,2453604.5,2055,0.1,39.60666667,-120.6247222
CORNISH,2005,2453605.5,1220,2453605.5,1514,0.1,39.49944444,-120.7788889
CAMINO#3,2005,2453606.5,1220,2453606.5,1225,0.1,39.73027778,-120.4566667
ONION#1,2005,2453598.5,1916,2453598.5,2020,0.1,39.51638889,-120.2997222
GRIFFON,2005,2453565.5,1125,2453565.5,1135,0.1,40.27,-123.3183333
SHELLY,2005,2453566.5,1600,2453566.5,1730,0.1,41.87666667,-123.8466667
RED GATE,2005,2453645.5,1250,2453645.5,1255,0.1,33.29972222,-116.9163889
FLAT CAMP,2005,2453567.5,1045,2453567.5,1200,0.1,41.68666667,-123.9130556
GASQUET MOUNTAIN,2005,2453567.5,1518,2453567.5,1535,0.1,41.9075,-124.0330556
COOPER,2005,2453568.5,1110,2453568.5,1125,0.1,41.83277778,-124.0347222
GRIFFON 2,2005,2453570.5,1045,2453570.5,1105,0.1,41.86111111,-123.8708333
GULCH,2005,2453573.5,930,2453573.5,1256,0.1,40.92388889,-123.6225
HOBART,2005,2453576.5,1718,2453576.5,1755,0.25,40.31444444,-123.3608333
POWERLINE,2005,2453576.5,1710,2453576.5,1720,0.1,40.28333333,-123.3922222
FLARE,2005,2453621.5,2315,2453621.5,2345,0.1,34.20555556,-117.8136111
PALM,2005,2453642.5,1610,2453642.5,1630,0.1,34.15222222,-117.8336111
AZUSA,2005,2453647.5,1753,2453647.5,1800,0.1,34.1425,-117.8922222
BUTTE,2005,2453568.5,130,2453568.5,1153,1.15,41.6325,-121.3916667
STUMP,2005,2453631.5,1730,2453631.5,1800,0.1,36.76805556,-118.9558333
214,2005,2453577.5,1445,2453577.5,1945,0.5,41.55333333,-120.6744444
CEDARBROOK,2005,2453632.5,1710,2453632.5,1930,0.1,36.71222222,-118.9986111
SAND BUTTE,2005,2453581.5,1807,2453581.5,1926,0.1,41.66805556,-121.4344444
SAMPSON FIRE,2005,2453633.5,900,2453633.5,1200,0.1,36.76944444,-119.1036111
BSFMU2,2005,2453587.5,1655,2453593.5,1600,10,41.63861111,-120.7075
CREEK,2005,2453633.5,1000,2453634.5,1300,0.1,34.31916667,-117.8836111
FLOWER,2005,2453554.5,1850,2453554.5,1915,0.1,34.23,-117.7852778
GROUSE,2005,2453588.5,1600,2453588.5,2000,0.1,35.4075,-118.3344444
LAKEVIEW,2005,2453580.5,1530,2453580.5,1545,0.25,39.12722222,-122.8511111
PEAVINE,2005,2453637.5,1545,2453637.5,1900,0.25,39.78472222,-121.3766667
LEWIS,2005,2453640.5,810,2453640.5,1230,0.25,39.58333333,-121.1188889
FORESTDALE,2005,2453640.5,700,2453640.5,1740,0.1,38.66861111,-119.9630556
COTTONWOOD,2005,2453553.5,1835,2453553.5,2103,0.1,37.98222222,-120.02
POMPYS,2005,2453640.5,950,2453640.5,1800,0.25,39.70861111,-121.2375
BUCKSKIN,2005,2453568.5,1000,2453568.5,1230,0.1,38.64305556,-120.3027778
MIDDLE FORK,2005,2453586.5,1400,2453586.5,1505,0.1,38.585,-120.2980556
FORNI,2005,2453598.5,655,2453598.5,1700,0.1,38.81138889,-120.1730556
STRAWBERRY,2005,2453598.5,700,2453598.5,1615,0.1,38.80166667,-120.1802778
SILVER,2005,2453640.5,1010,2453640.5,1225,0.1,39.80638889,-121.3561111
RODY,2005,2453640.5,1010,2453640.5,1700,0.1,39.79861111,-121.3411111
LOST,2005,2453640.5,1530,2453640.5,1730,0.1,39.58222222,-121.1452778
OAK,2005,2453640.5,1510,2453641.5,1325,0.1,39.55555556,-121.0583333
